codigo_identificacao_cliente;codigo_segmento;codigo_tipo_pessoa;cnpj;numero_agencia;numero_conta_corrente;numero_digito_verificador
00263ytu-5bc3-3c6a-9933-efe63d58d026;;1;859991720;1;22223;5
00263ytu-5bc3-3c6a-9933-efe63d58d026;;1;859991720;2;22224;1
20263ytu-5bc3-3c6a-9933-efe63d58d026;;2;2222222222;3;22225;2
30263ytu-5bc3-3c6a-9933-efe63d58d026;;3;859991720;4;22226;6
30263ytu-5bc3-3c6a-9933-efe63d58d026;;3;859991720;5;22227;5
00263ytu-5bc3-3c6a-9933-efe63d58d026;;1;859991720;6;22228;9
00263ytu-5bc3-3c6a-9933-efe63d58d026;;1;859991720;7;22229;6
00263ytu-5bc3-3c6a-9933-efe63d58d027;;1;859991724;8;22230;4
00263ytu-5bc3-3c6a-9933-efe63d58d028;;1;859991728;9;22231;3
00263ytu-5bc3-3c6a-9933-efe63d58d029;;1;859991732;10;22232;4
00263ytu-5bc3-3c6a-9933-efe63d58d030;;1;859991736;11;22233;0
00263ytu-5bc3-3c6a-9933-efe63d58d031;;1;859991740;12;22234;0
00263ytu-5bc3-3c6a-9933-efe63d58d032;;1;859991744;13;22235;7
00263ytu-5bc3-3c6a-9933-efe63d58d033;;1;859991748;14;22236;4
00263ytu-5bc3-3c6a-9933-efe63d58d034;;1;859991752;15;22237;4
00263ytu-5bc3-3c6a-9933-efe63d58d035;;1;859991756;16;22238;6
00263ytu-5bc3-3c6a-9933-efe63d58d036;;1;859991760;17;22239;6
00263ytu-5bc3-3c6a-9933-efe63d58d037;;1;859991764;18;22240;4
00263ytu-5bc3-3c6a-9933-efe63d58d038;;1;859991768;19;22241;2
00263ytu-5bc3-3c6a-9933-efe63d58d039;;1;859991772;20;22242;3
00263ytu-5bc3-3c6a-9933-efe63d58d040;;1;859991776;21;22243;8
00263ytu-5bc3-3c6a-9933-efe63d58d041;;1;859991780;22;22244;2
00263ytu-5bc3-3c6a-9933-efe63d58d042;;1;859991784;23;22245;0
00263ytu-5bc3-3c6a-9933-efe63d58d043;;1;859991788;24;22246;3
