numero_agencia;numero_conta_corrente;numero_digito_verificador;valor_pago_boleto_cobranca;year;month;day;type;codigo_identificacao_cliente;codigo_segmento;codigo_tipo_pessoa;numero_cadastro_nacional_pessoa_juridica
1;22223;5;10;2022;5;18;BONUS_COBRANCA;;;;
2;22224;1;10;2022;5;18;BONUS_COBRANCA;;;;
3;22225;2;10;2022;5;18;BONUS_COBRANCA;;;;
4;22226;6;10;2022;5;18;BONUS_COBRANCA;;;;
5;22227;5;10;2022;5;18;BONUS_COBRANCA;;;;
6;22228;9;10;2022;5;18;BONUS_COBRANCA;;;;
7;22229;6;10;2022;5;18;BONUS_COBRANCA;;;;
8;22230;4;10;2022;5;18;BONUS_COBRANCA;;;;
9;22231;3;10;2022;5;18;BONUS_COBRANCA;;;;
10;22232;4;10;2022;5;18;BONUS_COBRANCA;;;;
11;22233;0;10;2022;5;18;BONUS_COBRANCA;;;;
12;22234;0;10;2022;5;18;BONUS_COBRANCA;;;;
13;22235;7;10;2022;5;18;BONUS_COBRANCA;;;;
14;22236;4;10;2022;5;18;BONUS_COBRANCA;;;;
15;22237;4;10;2022;5;18;BONUS_COBRANCA;;;;
16;22238;6;10;2022;5;18;BONUS_COBRANCA;;;;
17;22239;6;10;2022;5;18;BONUS_COBRANCA;;;;
18;22240;4;10;2022;5;18;BONUS_COBRANCA;;;;
19;22241;2;10;2022;5;18;BONUS_COBRANCA;;;;
20;22242;3;10;2022;5;18;BONUS_COBRANCA;;;;
21;22243;8;10;2022;5;18;BONUS_COBRANCA;;;;
22;22244;2;10;2022;5;18;BONUS_COBRANCA;;;;
23;22245;0;10;2022;5;18;BONUS_COBRANCA;;;;
24;22246;3;10;2022;5;18;BONUS_COBRANCA;;;;
25;22247;9;10;2022;5;18;BONUS_COBRANCA;;;;
26;22248;3;10;2022;5;18;BONUS_COBRANCA;;;;
27;22249;8;10;2022;5;18;BONUS_COBRANCA;;;;
28;22250;3;10;2022;5;18;BONUS_COBRANCA;;;;
29;22251;3;10;2022;5;18;BONUS_COBRANCA;;;;
30;22252;7;10;2022;5;18;BONUS_COBRANCA;;;;
31;22253;8;10;2022;5;18;BONUS_COBRANCA;;;;
32;22254;1;10;2022;5;18;BONUS_COBRANCA;;;;
33;22255;4;10;2022;5;18;BONUS_COBRANCA;;;;
34;22256;7;10;2022;5;18;BONUS_COBRANCA;;;;
35;22257;8;10;2022;5;18;BONUS_COBRANCA;;;;
36;22258;7;10;2022;5;18;BONUS_COBRANCA;;;;
37;22259;9;10;2022;5;18;BONUS_COBRANCA;;;;
38;22260;5;10;2022;5;18;BONUS_COBRANCA;;;;
39;22261;2;10;2022;5;18;BONUS_COBRANCA;;;;
40;22262;3;10;2022;5;18;BONUS_COBRANCA;;;;
41;22263;5;10;2022;5;18;BONUS_COBRANCA;;;;
42;22264;5;10;2022;5;18;BONUS_COBRANCA;;;;
43;22265;3;10;2022;5;18;BONUS_COBRANCA;;;;
44;22266;5;10;2022;5;18;BONUS_COBRANCA;;;;
45;22267;7;10;2022;5;18;BONUS_COBRANCA;;;;
46;22268;9;10;2022;5;18;BONUS_COBRANCA;;;;
47;22269;0;10;2022;5;18;BONUS_COBRANCA;;;;
48;22270;5;10;2022;5;18;BONUS_COBRANCA;;;;
49;22271;6;10;2022;5;18;BONUS_COBRANCA;;;;
50;22272;2;10;2022;5;18;BONUS_COBRANCA;;;;
51;22273;4;10;2022;5;18;BONUS_COBRANCA;;;;
52;22274;6;10;2022;5;18;BONUS_COBRANCA;;;;
53;22275;0;10;2022;5;18;BONUS_COBRANCA;;;;
54;22276;3;10;2022;5;18;BONUS_COBRANCA;;;;
55;22277;6;10;2022;5;18;BONUS_COBRANCA;;;;
56;22278;7;10;2022;5;18;BONUS_COBRANCA;;;;
57;22279;3;10;2022;5;18;BONUS_COBRANCA;;;;
58;22280;6;10;2022;5;18;BONUS_COBRANCA;;;;
59;22281;1;10;2022;5;18;BONUS_COBRANCA;;;;
60;22282;9;10;2022;5;18;BONUS_COBRANCA;;;;
61;22283;2;10;2022;5;18;BONUS_COBRANCA;;;;
62;22284;8;10;2022;5;18;BONUS_COBRANCA;;;;
63;22285;8;10;2022;5;18;BONUS_COBRANCA;;;;
64;22286;0;10;2022;5;18;BONUS_COBRANCA;;;;
65;22287;7;10;2022;5;18;BONUS_COBRANCA;;;;
66;22288;8;10;2022;5;18;BONUS_COBRANCA;;;;
67;22289;6;10;2022;5;18;BONUS_COBRANCA;;;;
68;22290;0;10;2022;5;18;BONUS_COBRANCA;;;;
69;22291;0;10;2022;5;18;BONUS_COBRANCA;;;;
70;22292;4;10;2022;5;18;BONUS_COBRANCA;;;;
71;22293;6;10;2022;5;18;BONUS_COBRANCA;;;;
72;22294;0;10;2022;5;18;BONUS_COBRANCA;;;;
73;22295;8;10;2022;5;18;BONUS_COBRANCA;;;;
74;22296;6;10;2022;5;18;BONUS_COBRANCA;;;;
75;22297;6;10;2022;5;18;BONUS_COBRANCA;;;;
76;22298;0;10;2022;5;18;BONUS_COBRANCA;;;;
77;22299;1;10;2022;5;18;BONUS_COBRANCA;;;;
78;22300;2;10;2022;5;18;BONUS_COBRANCA;;;;
79;22301;4;10;2022;5;18;BONUS_COBRANCA;;;;
80;22302;3;10;2022;5;18;BONUS_COBRANCA;;;;
81;22303;9;10;2022;5;18;BONUS_COBRANCA;;;;
82;22304;5;10;2022;5;18;BONUS_COBRANCA;;;;
83;22305;6;10;2022;5;18;BONUS_COBRANCA;;;;
84;22306;1;10;2022;5;18;BONUS_COBRANCA;;;;
85;22307;1;10;2022;5;18;BONUS_COBRANCA;;;;
86;22308;9;10;2022;5;18;BONUS_COBRANCA;;;;
87;22309;8;10;2022;5;18;BONUS_COBRANCA;;;;
88;22310;3;10;2022;5;18;BONUS_COBRANCA;;;;
89;22311;6;10;2022;5;18;BONUS_COBRANCA;;;;
90;22312;4;10;2022;5;18;BONUS_COBRANCA;;;;
91;22313;8;10;2022;5;18;BONUS_COBRANCA;;;;
92;22314;3;10;2022;5;18;BONUS_COBRANCA;;;;
93;22315;4;10;2022;5;18;BONUS_COBRANCA;;;;
94;22316;0;10;2022;5;18;BONUS_COBRANCA;;;;
95;22317;9;10;2022;5;18;BONUS_COBRANCA;;;;
96;22318;0;10;2022;5;18;BONUS_COBRANCA;;;;
97;22319;9;10;2022;5;18;BONUS_COBRANCA;;;;
98;22320;1;10;2022;5;18;BONUS_COBRANCA;;;;
99;22321;2;10;2022;5;18;BONUS_COBRANCA;;;;
100;22322;0;10;2022;5;18;BONUS_COBRANCA;;;;
101;22323;6;10;2022;5;18;BONUS_COBRANCA;;;;
102;22324;3;10;2022;5;18;BONUS_COBRANCA;;;;
103;22325;5;10;2022;5;18;BONUS_COBRANCA;;;;
104;22326;1;10;2022;5;18;BONUS_COBRANCA;;;;
105;22327;0;10;2022;5;18;BONUS_COBRANCA;;;;
106;22328;1;10;2022;5;18;BONUS_COBRANCA;;;;
107;22329;8;10;2022;5;18;BONUS_COBRANCA;;;;
108;22330;2;10;2022;5;18;BONUS_COBRANCA;;;;
109;22331;7;10;2022;5;18;BONUS_COBRANCA;;;;
110;22332;9;10;2022;5;18;BONUS_COBRANCA;;;;
111;22333;0;10;2022;5;18;BONUS_COBRANCA;;;;
112;22334;6;10;2022;5;18;BONUS_COBRANCA;;;;
113;22335;1;10;2022;5;18;BONUS_COBRANCA;;;;
114;22336;8;10;2022;5;18;BONUS_COBRANCA;;;;
115;22337;0;10;2022;5;18;BONUS_COBRANCA;;;;
116;22338;6;10;2022;5;18;BONUS_COBRANCA;;;;
117;22339;1;10;2022;5;18;BONUS_COBRANCA;;;;
118;22340;4;10;2022;5;18;BONUS_COBRANCA;;;;
119;22341;4;10;2022;5;18;BONUS_COBRANCA;;;;
120;22342;2;10;2022;5;18;BONUS_COBRANCA;;;;
121;22343;9;10;2022;5;18;BONUS_COBRANCA;;;;
122;22344;8;10;2022;5;18;BONUS_COBRANCA;;;;
123;22345;3;10;2022;5;18;BONUS_COBRANCA;;;;
124;22346;8;10;2022;5;18;BONUS_COBRANCA;;;;
125;22347;9;10;2022;5;18;BONUS_COBRANCA;;;;
126;22348;0;10;2022;5;18;BONUS_COBRANCA;;;;
127;22349;7;10;2022;5;18;BONUS_COBRANCA;;;;
128;22350;6;10;2022;5;18;BONUS_COBRANCA;;;;
129;22351;4;10;2022;5;18;BONUS_COBRANCA;;;;
130;22352;7;10;2022;5;18;BONUS_COBRANCA;;;;
131;22353;0;10;2022;5;18;BONUS_COBRANCA;;;;
132;22354;2;10;2022;5;18;BONUS_COBRANCA;;;;
133;22355;2;10;2022;5;18;BONUS_COBRANCA;;;;
134;22356;3;10;2022;5;18;BONUS_COBRANCA;;;;
135;22357;4;10;2022;5;18;BONUS_COBRANCA;;;;
136;22358;9;10;2022;5;18;BONUS_COBRANCA;;;;
137;22359;3;10;2022;5;18;BONUS_COBRANCA;;;;
138;22360;3;10;2022;5;18;BONUS_COBRANCA;;;;
139;22361;4;10;2022;5;18;BONUS_COBRANCA;;;;
140;22362;2;10;2022;5;18;BONUS_COBRANCA;;;;
141;22363;7;10;2022;5;18;BONUS_COBRANCA;;;;
142;22364;5;10;2022;5;18;BONUS_COBRANCA;;;;
143;22365;4;10;2022;5;18;BONUS_COBRANCA;;;;
144;22366;2;10;2022;5;18;BONUS_COBRANCA;;;;
145;22367;6;10;2022;5;18;BONUS_COBRANCA;;;;
146;22368;7;10;2022;5;18;BONUS_COBRANCA;;;;
147;22369;6;10;2022;5;18;BONUS_COBRANCA;;;;
148;22370;3;10;2022;5;18;BONUS_COBRANCA;;;;
149;22371;9;10;2022;5;18;BONUS_COBRANCA;;;;
150;22372;0;10;2022;5;18;BONUS_COBRANCA;;;;
151;22373;4;10;2022;5;18;BONUS_COBRANCA;;;;
152;22374;7;10;2022;5;18;BONUS_COBRANCA;;;;
153;22375;8;10;2022;5;18;BONUS_COBRANCA;;;;
154;22376;4;10;2022;5;18;BONUS_COBRANCA;;;;
155;22377;5;10;2022;5;18;BONUS_COBRANCA;;;;
156;22378;5;10;2022;5;18;BONUS_COBRANCA;;;;
157;22379;5;10;2022;5;18;BONUS_COBRANCA;;;;
158;22380;6;10;2022;5;18;BONUS_COBRANCA;;;;
159;22381;1;10;2022;5;18;BONUS_COBRANCA;;;;
160;22382;1;10;2022;5;18;BONUS_COBRANCA;;;;
161;22383;2;10;2022;5;18;BONUS_COBRANCA;;;;
162;22384;9;10;2022;5;18;BONUS_COBRANCA;;;;
163;22385;1;10;2022;5;18;BONUS_COBRANCA;;;;
164;22386;8;10;2022;5;18;BONUS_COBRANCA;;;;
165;22387;8;10;2022;5;18;BONUS_COBRANCA;;;;
166;22388;6;10;2022;5;18;BONUS_COBRANCA;;;;
167;22389;7;10;2022;5;18;BONUS_COBRANCA;;;;
168;22390;4;10;2022;5;18;BONUS_COBRANCA;;;;
169;22391;6;10;2022;5;18;BONUS_COBRANCA;;;;
170;22392;9;10;2022;5;18;BONUS_COBRANCA;;;;
171;22393;8;10;2022;5;18;BONUS_COBRANCA;;;;
172;22394;3;10;2022;5;18;BONUS_COBRANCA;;;;
173;22395;8;10;2022;5;18;BONUS_COBRANCA;;;;
174;22396;0;10;2022;5;18;BONUS_COBRANCA;;;;
175;22397;3;10;2022;5;18;BONUS_COBRANCA;;;;
176;22398;0;10;2022;5;18;BONUS_COBRANCA;;;;
177;22399;5;10;2022;5;18;BONUS_COBRANCA;;;;
178;22400;0;10;2022;5;18;BONUS_COBRANCA;;;;
179;22401;7;10;2022;5;18;BONUS_COBRANCA;;;;
180;22402;4;10;2022;5;18;BONUS_COBRANCA;;;;
181;22403;5;10;2022;5;18;BONUS_COBRANCA;;;;
182;22404;8;10;2022;5;18;BONUS_COBRANCA;;;;
183;22405;0;10;2022;5;18;BONUS_COBRANCA;;;;
184;22406;0;10;2022;5;18;BONUS_COBRANCA;;;;
185;22407;5;10;2022;5;18;BONUS_COBRANCA;;;;
186;22408;2;10;2022;5;18;BONUS_COBRANCA;;;;
187;22409;4;10;2022;5;18;BONUS_COBRANCA;;;;
188;22410;6;10;2022;5;18;BONUS_COBRANCA;;;;
189;22411;1;10;2022;5;18;BONUS_COBRANCA;;;;
190;22412;5;10;2022;5;18;BONUS_COBRANCA;;;;
191;22413;5;10;2022;5;18;BONUS_COBRANCA;;;;
192;22414;6;10;2022;5;18;BONUS_COBRANCA;;;;
193;22415;1;10;2022;5;18;BONUS_COBRANCA;;;;
194;22416;9;10;2022;5;18;BONUS_COBRANCA;;;;
195;22417;2;10;2022;5;18;BONUS_COBRANCA;;;;
196;22418;3;10;2022;5;18;BONUS_COBRANCA;;;;
197;22419;4;10;2022;5;18;BONUS_COBRANCA;;;;
198;22420;2;10;2022;5;18;BONUS_COBRANCA;;;;
199;22421;4;10;2022;5;18;BONUS_COBRANCA;;;;
200;22422;8;10;2022;5;18;BONUS_COBRANCA;;;;
201;22423;0;10;2022;5;18;BONUS_COBRANCA;;;;
202;22424;8;10;2022;5;18;BONUS_COBRANCA;;;;
203;22425;4;10;2022;5;18;BONUS_COBRANCA;;;;
204;22426;9;10;2022;5;18;BONUS_COBRANCA;;;;
205;22427;5;10;2022;5;18;BONUS_COBRANCA;;;;
206;22428;7;10;2022;5;18;BONUS_COBRANCA;;;;
207;22429;1;10;2022;5;18;BONUS_COBRANCA;;;;
208;22430;1;10;2022;5;18;BONUS_COBRANCA;;;;
209;22431;7;10;2022;5;18;BONUS_COBRANCA;;;;
210;22432;4;10;2022;5;18;BONUS_COBRANCA;;;;
211;22433;9;10;2022;5;18;BONUS_COBRANCA;;;;
212;22434;1;10;2022;5;18;BONUS_COBRANCA;;;;
213;22435;6;10;2022;5;18;BONUS_COBRANCA;;;;
214;22436;5;10;2022;5;18;BONUS_COBRANCA;;;;
